gameRefId,frameNum,period,periodGameClockTime,game_event_id,possession_event_id,game_event_type,team_name,home_team,home_ball,game_event_start_frame,game_event_end_frame,game_event_start_time,game_event_end_time,possession_event_type,possession_start_frame,possession_end_frame,possession_start_time
,160571,2,5036.870391,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160572,2,5036.903758,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160573,2,5036.937124,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160574,2,5036.970491,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160575,2,5037.003858,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160576,2,5037.037225,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160577,2,5037.070591,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160578,2,5037.103958,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160579,2,5037.137325,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160580,2,5037.170691,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160581,2,5037.204058,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160582,2,5037.237425,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160583,2,5037.270791,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160584,2,5037.304158,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160585,2,5037.337525,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160586,2,5037.370892,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160587,2,5037.404258,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160588,2,5037.437625,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160589,2,5037.470992,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160590,2,5037.504358,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160591,2,5037.537725,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160592,2,5037.571092,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160593,2,5037.604458,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160594,2,5037.637825,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160595,2,5037.671192,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160596,2,5037.704559,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160597,2,5037.737925,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160598,2,5037.771292,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160599,2,5037.804659,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160600,2,5037.838025,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160601,2,5037.871392,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160602,2,5037.904759,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160603,2,5037.938125,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160604,2,5037.971492,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160605,2,5038.004859,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160606,2,5038.038226,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160607,2,5038.071592,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160608,2,5038.104959,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160609,2,5038.138326,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160610,2,5038.171692,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160611,2,5038.205059,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160612,2,5038.238426,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160613,2,5038.271792,6630179.0,6511479.0,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,PA,160613.0,,5359.126
,160614,2,5038.305159,,,,,,,,,,,,,,
,160615,2,5038.338526,,,,,,,,,,,,,,
,160616,2,5038.371893,,,,,,,,,,,,,,
,160617,2,5038.405259,,,,,,,,,,,,,,
,160618,2,5038.438626,,,,,,,,,,,,,,
,160619,2,5038.471993,,,,,,,,,,,,,,
,160620,2,5038.505359,,,,,,,,,,,,,,
,160621,2,5038.538726,,,,,,,,,,,,,,
,160622,2,5038.572093,,,,,,,,,,,,,,
,160623,2,5038.605459,,,,,,,,,,,,,,
,160624,2,5038.638826,,,,,,,,,,,,,,
,160625,2,5038.672193,,,,,,,,,,,,,,
,160626,2,5038.70556,,,,,,,,,,,,,,
,160627,2,5038.738926,,,,,,,,,,,,,,
,160628,2,5038.772293,,,,,,,,,,,,,,
,160629,2,5038.80566,,,,,,,,,,,,,,
,160630,2,5038.839026,,,,,,,,,,,,,,
,160631,2,5038.872393,,,,,,,,,,,,,,
,160632,2,5038.90576,,,,,,,,,,,,,,
,160633,2,5038.939126,,,,,,,,,,,,,,
,160634,2,5038.972493,,,,,,,,,,,,,,
,160635,2,5039.00586,,,,,,,,,,,,,,
,160636,2,5039.039227,,,,,,,,,,,,,,
,160637,2,5039.072593,,,,,,,,,,,,,,
,160638,2,5039.10596,,,,,,,,,,,,,,
,160639,2,5039.139327,,,,,,,,,,,,,,
,160640,2,5039.172693,,,,,,,,,,,,,,
,160641,2,5039.20606,,,,,,,,,,,,,,
